StudNo,Description,Action,DateFiled,DateResolved
2017-10414,Residency,Unresolved,2015-08-14,2017-09-12
2017-10037,Completion,Lapsed,2014-06-03,2016-12-11
2017-10292,Completion,Lapsed,2014-06-12,2017-09-15
2017-10762,Completion,Unresolved,2014-05-07,2016-10-12
2017-10763,Change of Adviser,Unresolved,2014-02-27,2017-09-19
2017-10153,LOA,Resolved,2015-05-14,2016-05-21
2017-10010,AWOL,Lapsed,2015-05-02,2017-05-25
2017-10937,Residency,Lapsed,2014-05-16,2016-02-02
2017-10011,Change of Adviser,Unresolved,2015-01-07,2017-10-21
2017-10880,Residency,Resolved,2014-10-30,2016-05-26
2017-10907,AWOL,Unresolved,2015-04-27,2017-09-21
2017-10848,Change of Plan of Study,Unresolved,2014-02-12,2016-10-17
2017-10665,LOA,Resolved,2014-08-03,2016-02-12
2017-10403,AWOL,Unresolved,2014-08-22,2017-09-18
2017-10946,Change of Plan of Study,Unresolved,2015-07-22,2017-05-13
2017-10129,Residency,Resolved,2015-05-02,2017-07-21
2017-10669,Change of Plan of Study,Lapsed,2015-05-10,2017-07-25
2017-10517,Completion,Unresolved,2015-07-30,2016-08-18
2017-10555,LOA,Lapsed,2015-05-24,2016-04-02
2017-10212,AWOL,Lapsed,2015-01-24,2016-01-13
2017-10649,LOA,Unresolved,2015-08-28,2017-06-21
2017-10107,Residency,Resolved,2015-10-04,2017-09-25
2017-10924,Completion,Unresolved,2015-11-08,2017-02-26
2017-10437,AWOL,Resolved,2015-05-19,2016-04-02
2017-10375,Residency,Unresolved,2014-10-23,2016-04-10
2017-10190,Completion,Lapsed,2014-08-29,2017-08-20
2017-10383,Residency,Resolved,2014-09-21,2016-02-25
2017-10424,LOA,Lapsed,2014-07-01,2017-07-20
2017-10067,Change of Plan of Study,Resolved,2014-01-04,2017-01-24
2017-10132,Change of Adviser,Resolved,2014-02-04,2016-02-09
2017-10446,Residency,Unresolved,2014-07-30,2017-05-11
2017-10613,Change of Adviser,Lapsed,2015-06-13,2016-02-25
2017-10470,Change of Plan of Study,Lapsed,2015-05-19,2017-01-11
2017-10458,Change of Plan of Study,Resolved,2015-03-19,2017-03-07
2017-10336,Completion,Lapsed,2014-01-01,2016-12-22
2017-10364,AWOL,Resolved,2014-07-16,2016-12-18
2017-10947,Residency,Unresolved,2015-07-25,2016-07-16
2017-10107,AWOL,Lapsed,2014-11-26,2017-06-26
2017-10683,Change of Plan of Study,Resolved,2014-08-08,2017-01-13
2017-10827,Change of Plan of Study,Resolved,2015-01-20,2017-06-14
2017-10762,Residency,Resolved,2015-11-09,2016-05-02
2017-10936,LOA,Resolved,2015-09-02,2017-09-22
2017-10127,AWOL,Resolved,2014-07-01,2016-11-25
2017-10487,AWOL,Unresolved,2014-01-12,2016-10-28
2017-10393,Change of Plan of Study,Resolved,2014-07-27,2017-09-21
2017-10821,LOA,Resolved,2014-07-29,2016-09-02
2017-10552,Residency,Lapsed,2014-01-10,2016-06-22
2017-10881,LOA,Lapsed,2014-03-20,2016-06-29
2017-10823,LOA,Resolved,2015-05-04,2017-04-28
2017-10762,Completion,Lapsed,2015-06-11,2017-07-16
2017-10187,Change of Adviser,Unresolved,2014-09-03,2017-05-08
2017-10034,Change of Adviser,Lapsed,2014-11-16,2016-06-23
2017-10541,Change of Adviser,Resolved,2015-03-13,2016-04-14
2017-10752,Change of Plan of Study,Unresolved,2014-04-25,2016-05-22
2017-10024,AWOL,Unresolved,2014-11-09,2016-03-27
2017-10682,LOA,Unresolved,2015-08-03,2016-05-08
2017-10725,Change of Adviser,Resolved,2014-08-26,2017-03-30
2017-10041,Change of Adviser,Lapsed,2015-07-23,2016-09-30
2017-10956,Change of Plan of Study,Lapsed,2015-06-18,2016-05-25
2017-10409,Completion,Resolved,2015-10-08,2016-09-21
2017-10010,LOA,Resolved,2014-01-05,2016-02-04
2017-10157,Change of Plan of Study,Unresolved,2015-07-31,2016-01-03
2017-10620,Change of Adviser,Resolved,2015-03-19,2016-04-06
2017-10684,LOA,Resolved,2015-10-30,2017-03-25
2017-10721,Completion,Resolved,2015-04-17,2017-08-27
2017-10822,Residency,Lapsed,2014-06-28,2016-10-30
2017-10661,LOA,Resolved,2015-04-15,2016-06-22
2017-10330,LOA,Lapsed,2014-05-18,2017-01-01
2017-10411,LOA,Unresolved,2014-09-30,2016-07-31
2017-10575,Change of Plan of Study,Resolved,2014-07-13,2016-07-11
2017-10266,Change of Adviser,Unresolved,2014-07-02,2017-02-01
2017-10347,Change of Plan of Study,Unresolved,2015-04-27,2017-10-24
2017-10331,Residency,Resolved,2014-02-13,2016-04-14
2017-10167,Residency,Lapsed,2014-11-20,2017-08-30
2017-10319,Change of Plan of Study,Unresolved,2015-03-05,2016-01-20
2017-10160,AWOL,Lapsed,2015-08-29,2017-06-01
2017-10742,LOA,Unresolved,2014-06-20,2016-09-22
2017-10946,LOA,Lapsed,2014-04-01,2017-09-24
2017-10651,Change of Adviser,Lapsed,2015-10-24,2017-11-07
2017-10465,Change of Adviser,Resolved,2015-10-16,2016-07-11
2017-10093,Change of Adviser,Lapsed,2015-09-08,2016-06-17
2017-10467,Completion,Lapsed,2015-03-08,2017-04-02
2017-10808,Change of Plan of Study,Resolved,2014-11-19,2016-05-11
2017-10466,LOA,Unresolved,2014-04-02,2016-07-14
2017-10914,Completion,Lapsed,2015-01-06,2017-06-02
2017-10291,AWOL,Resolved,2015-04-28,2017-08-28
2017-10812,Change of Plan of Study,Lapsed,2014-11-13,2016-11-01
2017-10273,Residency,Resolved,2014-05-02,2017-05-01
2017-10162,LOA,Lapsed,2015-07-29,2016-10-10
2017-10670,Change of Adviser,Lapsed,2014-08-21,2016-12-10
2017-10547,Change of Adviser,Resolved,2014-04-25,2016-05-25
2017-10479,Change of Plan of Study,Lapsed,2015-04-12,2016-07-04
2017-10371,Residency,Resolved,2015-01-22,2017-09-03
2017-10981,Change of Adviser,Unresolved,2015-06-18,2017-11-05
2017-10643,Completion,Unresolved,2014-07-23,2017-10-06
2017-10756,Change of Adviser,Unresolved,2014-04-26,2017-07-16
2017-10589,Completion,Resolved,2014-06-07,2016-11-24
2017-10228,Completion,Unresolved,2014-05-08,2017-10-15
2017-10575,AWOL,Lapsed,2014-01-16,2017-04-07
2017-10658,Change of Plan of Study,Unresolved,2015-03-29,2017-08-01
2017-10348,LOA,Unresolved,2014-11-12,2017-02-15
2017-10432,Change of Plan of Study,Unresolved,2015-06-16,2017-04-06
2017-10207,LOA,Unresolved,2014-12-22,2016-05-01
2017-10450,AWOL,Lapsed,2014-09-16,2016-07-23
2017-10597,AWOL,Resolved,2014-04-01,2017-03-23
2017-10433,Residency,Resolved,2014-09-14,2017-09-26
2017-10491,Change of Adviser,Lapsed,2015-05-11,2016-10-12
2017-10333,LOA,Unresolved,2014-07-10,2017-06-30
2017-10511,Change of Adviser,Resolved,2015-10-24,2016-10-08
2017-10320,Residency,Resolved,2014-08-21,2017-10-16
2017-10021,AWOL,Lapsed,2015-01-27,2016-09-07
2017-10133,AWOL,Unresolved,2014-09-10,2017-01-05
2017-10345,Change of Plan of Study,Lapsed,2014-06-15,2016-09-16
2017-10675,AWOL,Lapsed,2015-07-15,2016-04-22
2017-10560,Change of Plan of Study,Resolved,2014-05-12,2016-03-21
2017-10486,Completion,Unresolved,2014-12-16,2017-07-27
2017-10176,AWOL,Resolved,2014-10-02,2016-07-20
2017-10794,LOA,Lapsed,2014-12-29,2017-04-22
2017-10634,Change of Plan of Study,Lapsed,2014-07-29,2017-02-23
2017-10051,Residency,Lapsed,2015-01-10,2017-05-19
2017-10127,Change of Plan of Study,Unresolved,2014-06-15,2016-05-28
2017-10188,LOA,Resolved,2014-10-30,2016-08-12
2017-10420,Change of Adviser,Lapsed,2015-01-01,2016-02-26
2017-10701,AWOL,Lapsed,2015-06-09,2017-05-26
2017-10610,AWOL,Resolved,2014-12-19,2017-04-28
2017-10745,AWOL,Unresolved,2015-08-04,2016-03-02
2017-10914,Completion,Unresolved,2015-07-19,2017-09-03
2017-10328,Change of Plan of Study,Resolved,2015-10-20,2017-08-01
2017-10179,LOA,Unresolved,2014-02-23,2017-06-12
2017-10521,Change of Plan of Study,Unresolved,2015-10-30,2017-06-19
2017-10036,AWOL,Lapsed,2015-06-21,2017-09-22
2017-10104,LOA,Lapsed,2014-12-27,2016-06-21
2017-10627,Change of Adviser,Resolved,2014-09-19,2016-01-14
2017-10792,Residency,Resolved,2014-03-08,2017-08-08
2017-10632,Completion,Resolved,2015-09-10,2016-10-10
2017-10001,AWOL,Lapsed,2014-04-20,2016-07-24
2017-10231,Change of Adviser,Resolved,2014-01-30,2016-01-21
2017-10570,LOA,Unresolved,2015-03-26,2017-01-10
2017-10833,LOA,Lapsed,2015-07-27,2016-09-26
2017-10965,Change of Adviser,Lapsed,2014-11-24,2017-03-20
2017-10397,Completion,Resolved,2015-05-15,2017-03-29
2017-10472,Residency,Resolved,2015-11-13,2017-04-12
2017-10340,AWOL,Lapsed,2014-05-26,2016-12-07
2017-10687,Completion,Lapsed,2014-02-23,2017-05-26
2017-10023,Change of Adviser,Lapsed,2014-03-03,2017-06-29
2017-10394,AWOL,Resolved,2014-07-24,2017-10-11
2017-10188,Change of Plan of Study,Lapsed,2015-03-21,2017-03-28
2017-10852,Completion,Lapsed,2015-07-11,2017-06-24
2017-10054,Change of Plan of Study,Unresolved,2014-05-27,2016-09-16
2017-10084,Residency,Resolved,2014-05-26,2017-04-18
2017-10511,Residency,Unresolved,2014-11-03,2017-05-01
2017-10812,Change of Adviser,Unresolved,2014-02-23,2016-03-01
2017-10923,Change of Plan of Study,Resolved,2015-06-22,2017-08-30
2017-10440,AWOL,Resolved,2015-03-03,2016-11-06
2017-10985,LOA,Resolved,2014-03-13,2017-07-09
2017-10945,Completion,Unresolved,2015-09-13,2016-12-31
2017-10250,Change of Plan of Study,Unresolved,2015-03-19,2017-08-25
2017-10677,Completion,Unresolved,2015-07-28,2017-06-09
2017-10080,Change of Adviser,Lapsed,2014-04-02,2016-07-06
2017-10660,Completion,Unresolved,2014-02-06,2016-09-19
2017-10139,AWOL,Lapsed,2015-06-14,2016-01-25
2017-10960,AWOL,Resolved,2014-12-14,2017-07-23
2017-10172,Residency,Resolved,2015-06-15,2017-07-31
2017-10065,Change of Plan of Study,Resolved,2015-10-13,2017-02-26
2017-10065,Change of Plan of Study,Resolved,2014-02-22,2017-07-06
2017-10713,Change of Plan of Study,Lapsed,2015-02-19,2017-04-25
2017-10786,Residency,Unresolved,2015-09-06,2016-06-02
2017-10960,Change of Plan of Study,Resolved,2015-10-28,2016-10-03
2017-10049,Completion,Resolved,2014-04-07,2017-09-12
2017-10866,Change of Adviser,Lapsed,2014-08-26,2017-01-06
2017-10983,Change of Adviser,Unresolved,2014-04-10,2017-03-15
2017-10235,AWOL,Resolved,2014-03-23,2016-08-30
2017-10771,Completion,Lapsed,2014-06-07,2017-10-10
2017-10144,Completion,Resolved,2015-04-03,2017-07-31
2017-10787,Change of Adviser,Resolved,2015-10-20,2016-11-25
2017-10919,AWOL,Lapsed,2015-03-05,2016-08-16
2017-10766,Change of Plan of Study,Unresolved,2014-07-20,2016-02-20
2017-10734,LOA,Resolved,2014-03-30,2016-07-23
2017-10241,AWOL,Unresolved,2015-10-15,2017-03-31
2017-10416,AWOL,Resolved,2015-05-04,2016-04-08
2017-10118,Change of Adviser,Unresolved,2015-08-05,2017-03-08
2017-10621,LOA,Lapsed,2014-10-09,2017-10-06
2017-10473,Residency,Unresolved,2015-08-20,2016-11-03
2017-10190,Completion,Resolved,2014-10-21,2016-03-19
2017-10752,Completion,Lapsed,2015-09-20,2017-05-10
2017-10090,Completion,Lapsed,2015-10-15,2017-08-14
2017-10991,LOA,Unresolved,2014-02-18,2016-12-22
2017-10287,Change of Plan of Study,Lapsed,2014-05-10,2016-08-06
2017-10013,Residency,Resolved,2015-05-27,2016-05-25
2017-10680,Completion,Unresolved,2015-07-05,2017-09-16
2017-10075,Change of Plan of Study,Resolved,2014-05-20,2016-11-08
2017-10934,Completion,Unresolved,2015-04-21,2017-04-10
2017-10216,LOA,Lapsed,2015-10-20,2016-11-19
2017-10797,Completion,Unresolved,2014-02-19,2017-06-11
2017-10357,Change of Plan of Study,Unresolved,2014-10-19,2016-11-09
2017-10717,LOA,Unresolved,2014-05-09,2017-02-01
2017-10258,LOA,Resolved,2015-10-21,2016-05-20
2017-10961,LOA,Unresolved,2014-08-06,2017-05-02
2017-10886,AWOL,Resolved,2014-01-10,2016-04-21
2017-10450,LOA,Unresolved,2014-05-25,2016-06-04
2017-10195,Residency,Resolved,2014-01-06,2017-04-05
2017-10722,Residency,Unresolved,2014-09-20,2016-10-05
2017-10080,LOA,Resolved,2014-12-22,2016-11-26
2017-10231,Completion,Resolved,2014-10-03,2017-10-07
2017-10047,LOA,Resolved,2015-10-02,2016-06-26
2017-10174,Completion,Unresolved,2014-04-14,2017-08-19
2017-10984,AWOL,Unresolved,2014-01-26,2016-12-30
2017-10721,Change of Plan of Study,Resolved,2015-08-06,2017-02-12
2017-10076,LOA,Lapsed,2014-07-29,2017-03-27
2017-10619,LOA,Lapsed,2014-06-28,2017-10-14
2017-10485,LOA,Resolved,2014-12-03,2016-05-11
2017-10779,AWOL,Unresolved,2015-02-27,2016-05-12
2017-10623,Completion,Resolved,2014-01-15,2017-02-05
2017-10274,AWOL,Unresolved,2014-01-22,2017-08-16
2017-10453,Change of Plan of Study,Lapsed,2015-07-09,2017-08-10
2017-10309,Change of Adviser,Lapsed,2015-03-31,2017-06-25
2017-10815,AWOL,Lapsed,2014-06-26,2016-06-24
2017-10201,Change of Adviser,Unresolved,2015-07-25,2017-10-21
2017-10301,Change of Adviser,Resolved,2014-10-28,2016-11-28
2017-10821,AWOL,Resolved,2014-01-29,2017-03-09
2017-10430,Completion,Lapsed,2015-08-17,2017-06-05
2017-10038,Change of Plan of Study,Resolved,2014-04-17,2016-11-20
2017-10370,Residency,Lapsed,2014-10-13,2016-05-25
2017-10651,Change of Plan of Study,Lapsed,2014-01-27,2016-12-28
2017-10073,AWOL,Unresolved,2015-10-31,2017-05-04
2017-10283,Change of Adviser,Lapsed,2014-11-20,2016-09-02
2017-10005,Change of Plan of Study,Unresolved,2015-06-07,2016-09-23
2017-10811,Completion,Resolved,2014-04-30,2017-03-24
2017-10522,Change of Adviser,Unresolved,2014-02-24,2016-01-11
2017-10537,AWOL,Resolved,2015-10-18,2016-03-29
2017-10286,Completion,Resolved,2014-03-25,2017-08-26
2017-10780,Change of Adviser,Lapsed,2014-02-19,2017-07-08
2017-10112,Change of Adviser,Resolved,2015-02-03,2017-03-03
2017-10107,AWOL,Resolved,2015-06-26,2017-03-28
2017-10149,Change of Plan of Study,Resolved,2014-07-31,2017-03-16
2017-10322,LOA,Resolved,2014-01-12,2017-05-13
2017-10960,Residency,Unresolved,2014-12-24,2017-07-16
2017-10677,Completion,Unresolved,2015-08-22,2017-06-12
2017-10634,AWOL,Lapsed,2014-09-16,2016-04-27
2017-10678,LOA,Resolved,2014-10-01,2017-07-31
2017-10769,Residency,Unresolved,2014-10-03,2017-06-17
2017-10997,Residency,Unresolved,2014-03-29,2016-05-24
2017-10091,Residency,Lapsed,2014-07-03,2016-07-16
2017-10965,LOA,Unresolved,2014-02-20,2017-11-07
2017-10974,AWOL,Resolved,2014-04-24,2017-04-03
2017-10503,LOA,Lapsed,2015-05-31,2017-10-18
2017-10895,LOA,Resolved,2015-05-03,2017-03-11
2017-10468,Completion,Unresolved,2014-03-19,2016-04-29
2017-10552,Completion,Lapsed,2015-03-24,2016-02-25
2017-10791,AWOL,Lapsed,2015-07-02,2017-08-08
2017-10750,Residency,Resolved,2014-12-23,2016-06-28
2017-10399,Change of Plan of Study,Lapsed,2014-06-13,2016-05-15
2017-10294,Completion,Resolved,2015-10-14,2017-03-21
2017-10719,LOA,Resolved,2014-05-31,2016-05-29
2017-10012,Change of Adviser,Resolved,2014-12-04,2017-06-21
2017-10540,Residency,Lapsed,2014-02-04,2016-09-12
2017-10729,Residency,Lapsed,2015-04-07,2017-05-31
2017-10895,Completion,Resolved,2014-01-12,2016-06-11
2017-10619,Completion,Lapsed,2014-05-07,2017-01-17
2017-10972,Change of Adviser,Resolved,2015-07-22,2016-05-07
2017-10529,Residency,Lapsed,2014-08-25,2017-07-02
2017-10375,Change of Adviser,Unresolved,2015-06-23,2017-05-28
2017-10313,Residency,Lapsed,2014-09-15,2016-12-04
2017-10379,Change of Plan of Study,Resolved,2014-09-12,2016-05-21
2017-10605,Residency,Lapsed,2014-06-11,2017-10-30
2017-10010,Change of Plan of Study,Lapsed,2015-02-10,2017-03-02
2017-10282,LOA,Unresolved,2014-06-14,2016-04-05
2017-10792,AWOL,Resolved,2015-06-19,2016-09-19
2017-10435,Completion,Lapsed,2014-10-19,2016-04-06
2017-10087,Change of Plan of Study,Lapsed,2014-08-24,2017-05-20
2017-10521,AWOL,Unresolved,2015-07-06,2016-03-20
2017-10064,Change of Plan of Study,Unresolved,2015-08-22,2017-06-14
2017-10040,LOA,Unresolved,2014-05-30,2017-08-10
2017-10610,LOA,Resolved,2015-03-27,2016-06-29
2017-10611,LOA,Lapsed,2014-01-23,2017-07-14
2017-10679,Change of Adviser,Resolved,2014-05-21,2017-03-24
2017-10090,Residency,Resolved,2015-02-26,2017-09-27
2017-10492,Completion,Resolved,2014-11-10,2017-05-25
2017-10573,Change of Adviser,Resolved,2014-02-10,2016-06-16
2017-10022,AWOL,Resolved,2015-01-03,2016-03-14
2017-10890,LOA,Unresolved,2014-03-22,2016-04-24
2017-10289,Residency,Resolved,2015-04-09,2016-09-26
2017-10273,Change of Adviser,Unresolved,2014-07-24,2017-03-17
2017-10863,Change of Adviser,Lapsed,2014-10-08,2016-08-18
2017-10871,AWOL,Resolved,2015-01-15,2017-05-26
2017-10275,LOA,Resolved,2014-07-20,2017-01-26
2017-10074,Change of Adviser,Lapsed,2014-10-15,2016-08-18
2017-10848,Completion,Lapsed,2014-12-12,2017-08-31
2017-10658,AWOL,Unresolved,2015-02-20,2017-07-30
2017-10954,LOA,Unresolved,2014-11-04,2016-04-25
2017-10243,Change of Adviser,Lapsed,2014-03-15,2016-06-24
2017-10132,Change of Plan of Study,Lapsed,2014-01-11,2016-07-13
2017-10763,Completion,Lapsed,2015-03-03,2016-05-18
2017-10187,AWOL,Resolved,2014-10-10,2017-02-04
2017-10214,Change of Adviser,Lapsed,2014-03-23,2016-09-19
2017-10387,AWOL,Unresolved,2014-01-18,2017-04-28
2017-10270,LOA,Lapsed,2015-01-10,2016-02-09
2017-10256,Change of Plan of Study,Resolved,2015-11-14,2017-07-01
2017-10013,Change of Plan of Study,Resolved,2015-02-02,2016-01-19
2017-10280,Change of Adviser,Resolved,2014-07-28,2016-09-06
2017-10075,AWOL,Resolved,2015-07-02,2016-11-10
2017-10622,Change of Adviser,Unresolved,2015-10-09,2016-07-02
2017-10421,Completion,Resolved,2014-12-08,2016-06-23
2017-10887,LOA,Lapsed,2014-08-20,2017-03-06
2017-10213,Completion,Resolved,2015-06-03,2016-06-01
2017-10479,Change of Adviser,Unresolved,2014-02-03,2016-07-02
2017-10322,LOA,Lapsed,2014-07-13,2016-06-10
2017-10731,Residency,Unresolved,2014-01-15,2016-05-25
2017-10016,Change of Plan of Study,Lapsed,2014-07-06,2016-03-03
2017-10960,Residency,Resolved,2015-06-14,2017-05-27
2017-10373,Residency,Resolved,2015-02-21,2016-12-20
2017-10543,Change of Plan of Study,Lapsed,2014-11-24,2016-12-13
2017-10368,LOA,Resolved,2015-01-20,2016-12-23
2017-10467,Change of Adviser,Resolved,2015-02-03,2016-03-25
2017-10550,Residency,Resolved,2014-05-23,2017-01-27
2017-10670,Residency,Lapsed,2014-10-17,2016-01-06
2017-10134,Change of Adviser,Resolved,2014-05-05,2017-01-09
2017-10841,LOA,Resolved,2014-12-31,2016-11-18
2017-10819,Residency,Lapsed,2014-05-24,2016-04-26
2017-10541,Completion,Unresolved,2014-03-13,2017-01-25
2017-10457,Change of Plan of Study,Lapsed,2014-03-21,2017-02-07
2017-10092,AWOL,Lapsed,2014-02-10,2016-05-10
2017-10626,Residency,Lapsed,2015-08-02,2016-02-12
2017-10484,AWOL,Resolved,2014-04-12,2017-05-03
2017-10163,Completion,Lapsed,2014-08-27,2017-07-05
2017-10321,Residency,Lapsed,2015-02-17,2017-06-06
2017-10173,Change of Plan of Study,Resolved,2015-01-23,2016-07-21
2017-10302,Change of Plan of Study,Unresolved,2015-05-13,2017-09-25
2017-10049,Completion,Resolved,2015-03-23,2017-04-18
2017-10850,Change of Plan of Study,Unresolved,2015-06-27,2016-09-27
2017-10419,Completion,Unresolved,2015-01-25,2017-10-18
2017-10772,Change of Plan of Study,Unresolved,2015-05-14,2016-08-06
2017-10198,LOA,Lapsed,2014-04-06,2017-10-22
2017-10854,Change of Adviser,Lapsed,2015-06-28,2017-06-05
2017-10560,AWOL,Unresolved,2014-09-09,2016-11-01
2017-10065,Completion,Unresolved,2015-09-16,2017-07-03
2017-10140,LOA,Unresolved,2015-05-19,2017-09-08
2017-10628,LOA,Lapsed,2015-06-26,2017-08-22
2017-10151,Residency,Resolved,2014-01-09,2017-09-16
2017-10601,Residency,Unresolved,2015-09-09,2017-05-19
2017-10454,Change of Plan of Study,Unresolved,2015-09-22,2016-10-28
2017-10580,Change of Adviser,Lapsed,2014-01-31,2017-04-22
2017-10195,Completion,Lapsed,2015-02-08,2016-03-31
2017-10651,LOA,Unresolved,2015-10-13,2017-05-24
2017-10969,AWOL,Lapsed,2015-06-26,2016-06-04
2017-10988,AWOL,Resolved,2015-03-04,2016-12-12
2017-10905,Change of Adviser,Unresolved,2014-07-19,2016-12-21
2017-10601,Change of Adviser,Unresolved,2014-07-05,2016-11-10
2017-10844,Completion,Resolved,2014-06-04,2017-05-05
2017-10072,AWOL,Lapsed,2014-05-21,2017-08-10
2017-10384,Change of Plan of Study,Lapsed,2015-07-28,2017-10-18
2017-10942,Completion,Resolved,2014-08-12,2017-06-22
2017-10563,AWOL,Lapsed,2015-09-19,2016-11-11
2017-10269,AWOL,Unresolved,2014-10-29,2016-04-14
2017-10799,LOA,Lapsed,2015-08-30,2016-06-25
2017-10651,Change of Plan of Study,Lapsed,2014-12-10,2016-06-10
2017-10603,AWOL,Lapsed,2015-07-06,2017-01-27
2017-10925,Residency,Lapsed,2014-01-22,2016-11-05
2017-10834,AWOL,Lapsed,2014-09-09,2017-07-18
2017-10920,Change of Adviser,Lapsed,2014-03-06,2017-09-07
2017-10598,Completion,Resolved,2014-11-17,2017-04-13
2017-10524,LOA,Resolved,2014-10-24,2017-06-30
2017-10236,Completion,Lapsed,2014-05-09,2017-05-09
2017-10710,LOA,Lapsed,2014-08-21,2016-04-22
2017-10804,Change of Plan of Study,Lapsed,2014-10-11,2016-11-04
2017-10631,LOA,Resolved,2014-06-04,2016-07-28
2017-10299,Completion,Unresolved,2014-05-11,2016-05-20
2017-10759,AWOL,Unresolved,2015-07-19,2017-09-05
2017-10124,Change of Adviser,Resolved,2014-05-12,2016-07-06
2017-10852,Change of Adviser,Unresolved,2014-03-01,2016-01-26
2017-10034,Change of Adviser,Lapsed,2014-11-17,2017-07-06
2017-10366,Residency,Unresolved,2015-01-23,2016-01-26
2017-10954,Completion,Lapsed,2015-08-05,2016-12-19
2017-10535,Change of Plan of Study,Unresolved,2014-06-18,2017-10-30
2017-10109,AWOL,Lapsed,2014-03-06,2017-08-16
2017-10336,Completion,Lapsed,2015-04-01,2017-07-20
2017-10811,LOA,Lapsed,2014-04-11,2017-03-05
2017-10280,Change of Plan of Study,Resolved,2014-12-10,2017-03-27
2017-10262,Residency,Unresolved,2015-09-26,2017-05-11
2017-10184,Completion,Unresolved,2015-04-20,2017-01-04
2017-10003,Change of Plan of Study,Unresolved,2015-02-09,2016-07-25
2017-10757,AWOL,Resolved,2014-01-24,2017-08-05
2017-10750,Completion,Lapsed,2014-10-18,2016-06-22
2017-10014,AWOL,Resolved,2015-04-29,2017-07-21
2017-10945,Change of Adviser,Lapsed,2015-04-02,2017-09-04
2017-10196,LOA,Resolved,2014-11-17,2017-01-01
2017-10286,Change of Plan of Study,Unresolved,2014-12-17,2016-08-15
2017-10195,Residency,Resolved,2014-06-06,2016-02-10
2017-10021,Change of Plan of Study,Unresolved,2015-11-01,2017-09-26
2017-10396,Change of Plan of Study,Resolved,2014-08-17,2017-03-24
2017-10390,Residency,Lapsed,2015-05-12,2016-06-01
2017-10710,Residency,Resolved,2014-05-05,2016-03-20
2017-10744,AWOL,Unresolved,2015-08-23,2016-05-23
2017-10605,Change of Adviser,Resolved,2015-07-14,2016-05-09
2017-10113,Completion,Unresolved,2014-05-23,2017-09-14
2017-10481,Change of Adviser,Resolved,2014-06-25,2016-06-21
2017-10096,Residency,Resolved,2015-09-03,2017-01-27
2017-10910,Completion,Lapsed,2014-12-28,2016-06-28
2017-10556,Completion,Resolved,2014-01-29,2016-01-06
2017-10543,Change of Plan of Study,Unresolved,2014-03-30,2017-01-06
2017-10309,AWOL,Resolved,2014-11-20,2017-09-05
2017-10665,Change of Adviser,Resolved,2014-11-06,2016-01-10
2017-10655,Residency,Unresolved,2014-04-28,2017-10-15
2017-10978,Change of Plan of Study,Unresolved,2015-03-10,2017-07-22
2017-10531,Residency,Unresolved,2015-02-14,2016-09-05
2017-10054,Completion,Unresolved,2014-10-31,2017-04-20
2017-10320,Residency,Lapsed,2015-05-31,2016-07-26
2017-10535,Change of Plan of Study,Lapsed,2014-06-02,2017-10-04
2017-10823,Completion,Lapsed,2014-08-13,2016-03-12
2017-10414,Change of Adviser,Lapsed,2014-07-24,2017-09-01
2017-10322,Residency,Unresolved,2015-08-19,2017-01-15
2017-10643,Completion,Lapsed,2014-06-07,2016-12-19
2017-10162,AWOL,Lapsed,2014-07-19,2017-11-09
2017-10643,LOA,Resolved,2014-06-13,2016-03-03
2017-10180,AWOL,Resolved,2014-07-24,2016-11-19
2017-10048,Residency,Resolved,2014-02-13,2016-03-01
2017-10187,Completion,Resolved,2015-10-17,2017-05-26
2017-10783,LOA,Unresolved,2015-09-15,2016-10-01
2017-10024,Change of Adviser,Resolved,2015-02-07,2017-11-13
2017-10938,LOA,Resolved,2014-11-13,2017-07-26
2017-10504,LOA,Lapsed,2015-10-06,2017-11-14
2017-10879,Residency,Lapsed,2014-05-12,2016-02-03
2017-10807,AWOL,Unresolved,2015-02-12,2017-08-29
2017-10810,Residency,Resolved,2015-03-19,2017-08-07
2017-10853,Completion,Resolved,2015-10-06,2017-06-13
2017-10842,LOA,Unresolved,2015-08-15,2016-03-21
2017-10089,Residency,Unresolved,2015-03-23,2016-07-29
2017-10668,Change of Adviser,Lapsed,2015-06-07,2017-03-27
2017-10465,AWOL,Lapsed,2014-06-05,2017-10-06
2017-10441,Completion,Resolved,2015-04-22,2017-03-14
2017-10773,AWOL,Unresolved,2015-03-02,2016-03-24
2017-10101,Change of Plan of Study,Lapsed,2014-03-18,2016-08-26
2017-10998,LOA,Lapsed,2014-07-18,2016-02-19
2017-10025,Change of Plan of Study,Lapsed,2014-02-06,2016-11-14
2017-10233,Completion,Resolved,2014-07-23,2017-02-28
2017-10164,AWOL,Unresolved,2014-08-09,2017-01-31
2017-10806,LOA,Unresolved,2014-09-22,2017-05-06
2017-10567,AWOL,Resolved,2015-06-23,2017-01-06
2017-10934,LOA,Resolved,2014-01-29,2017-02-13
2017-10062,LOA,Lapsed,2015-05-27,2016-02-27
2017-10846,Change of Plan of Study,Unresolved,2015-05-13,2017-09-09
2017-10824,Residency,Lapsed,2014-12-12,2017-04-27
2017-10803,LOA,Unresolved,2014-05-18,2017-08-04
2017-10276,Change of Adviser,Unresolved,2014-01-22,2016-01-23
